1172494	14820646	1
615357	23611030	1
18367536	7356945	0
15429599	23206029	0
3253027	11050195	1
18471152	18207261	1
14287646	18133461	0
18880060	18661682	1
2238218	8966082	1
11995931	14668901	0
23525240	14533184	1
8401358	13514558	1
19147301	4414596	0
8931241	7460370	1
17891162	1214975	1
19360483	15804547	1
19870772	186569	0
17542341	11039844	0
8912113	2746011	0
4068544	13930320	0
10819149	783717	1
472008	17212962	0
14483567	4324758	1
1655162	7044675	0
6489747	17829989	0
11717079	21722036	1
901348	12082135	1
2245320	12883277	1
775729	21055910	0
4369694	11751791	0
1349815	12923790	1
22290442	4830845	1
19532000	2046158	0
11291099	2915107	1
14577834	14432775	1
9456659	2210700	1
6190163	20228769	0
22807014	10006681	1
10466758	21285620	1
3788863	11128255	0
6861489	20194293	0
10949790	1676011	0
18752957	4643706	0
15953416	7343430	0
22690093	23071780	1
19392393	4981115	0
5244020	9542519	0
14152188	14555517	1
10251387	19925085	1
7408304	8292297	0
6305269	2857623	1
7680527	10688093	0
6181660	14291851	0
22431486	2033320	0
2691849	11130567	1
137780	12107388	0
2232618	12614305	1
15372362	5609518	0
19210936	19800554	1
12678042	2771574	0
6244936	15882289	1
11875445	672084	1
11277510	22642186	1
23400216	19845293	0
22290442	6096495	0
2769195	9791183	1
9801258	23106635	0
7542014	18504995	0
19416287	325062	1
7531749	8107001	1
6886408	5675398	0
23147990	23119494	1
18634052	10692452	0
586503	6190167	1
3992343	19307122	0
4843971	18176214	0
2401851	1607809	0
30237	5297820	1
9591960	22705280	0
12524506	520600	1
11219274	19894311	0
16948800	4076620	1
16226357	4440887	0
4501770	14651235	0
16981230	8070379	0
13299925	1447440	0
1856912	21570965	1
17275141	22303544	1
12577739	116038	0
19217522	6996260	0
20983672	11562158	1
8688357	7911395	1
3229363	19722336	1
4162691	23338805	0
21930715	5704569	0
8070429	521113	0
19344016	778875	0
3766029	12641711	0
8833167	23338807	0
7039646	3233094	0
18892407	10176882	1
11277510	11145818	1
7398604	21369761	1
1629598	17068090	0
3998244	9552428	0
23032732	18797768	1
14484136	2557142	0
1313409	23058336	0
4672830	6856319	0
6790585	7794666	0
12465375	17050025	1
16532304	21680551	1
7908426	22985809	0
19235554	6937	0
23531657	8841555	0
6085964	8235223	0
21754660	3287812	1
8292297	18566815	1
20905348	12524256	0
601526	2494612	1
553082	5783518	0
9693856	23353199	1
22128712	7135601	1
6644756	19555516	0
20037335	10385493	1
1447440	5350703	0
17957004	628819	0
22712288	12980227	1
19912847	20717530	0
14333733	17347450	1
1684606	16987999	1
8612648	1977837	1
13733916	12127276	0
22900234	21741649	0
1851606	16568044	1
15968019	13139266	1
22602225	5616545	0
740874	18923902	1
18898824	16548896	0
3992912	18568751	0
7366687	2903590	1
9516458	19662493	1
5751314	4588203	1
8862015	18868986	1
20063872	2736183	0
343779	9901709	0
19138361	20499484	0
18708933	3175529	0
17808807	22346314	0
7842021	18098931	1
8567304	4471000	1
7682647	12626918	1
13361852	7781593	1
9383862	4224228	1
22769774	16085713	0
21253562	10062074	1
7465588	437883	0
5391696	13541067	0
6008880	413237	1
14456151	23537682	0
3024984	2980810	0
22924615	9398847	0
908793	41672	0
83802	3942117	1
20023016	22207784	1
1637147	13514558	1
19172383	9233950	1
7014900	1416342	0
17426486	20669450	1
8833167	15287811	0
7232330	8117216	1
14469218	18427451	1
22739188	5824704	0
21092152	13631832	0
19870772	1730524	0
7920005	3533516	1
14778878	14757691	0
21457925	21575638	1
18973292	3532296	0
18065573	16637130	1
23004478	10535319	1
4960419	813588	0
1502582	17829989	0
17499276	12530708	1
10934628	8709483	1
7949001	20965286	0
2716763	20816895	0
4672830	3024993	1
14050308	970639	0
18036453	662295	0
6814855	5422086	1
11971638	16851954	0
10113882	7109222	1
10689659	19044530	0
5439181	6270867	1
2399802	726690	0
12465375	11457386	1
21370186	20827140	0
2711644	839385	1
16055063	357303	0
16733950	151885	1
18539085	12218827	0
17119759	6597132	1
19579830	2746011	1
4672830	20789900	1
22239198	22456976	0
23677144	14275711	0
3946138	18454388	0
20063872	17832320	1
375390	16236980	0
5870262	21493548	0
21247844	106625	0
11798810	1668091	0
18293811	11324607	1
18578541	22670950	1
18397102	12096098	0
18942517	10315160	1
9130585	14869434	1
4591684	16076390	0
8594656	3011295	0
11683526	23512890	1
5450104	2099972	0
592607	20130103	1
3621720	2494612	0
10425169	10598290	1
20789900	16351776	1
23241194	8801744	1
10177738	210587	0
22821011	151885	1
3153908	5933082	0
17467385	14702119	1
